"x" "y"
-9682410 5741708
-9635933 5745868
-9642892 5717269
-9612869 5749821
NA NA
-9718402 1458207
-9691875 1459765
NA NA
-9695798 1394779
-9754183 1460237
-9718402 1458207
NA NA
-9538991 1240643
-9695798 1394779
NA NA
-9538991 1240643
-9512554 1247800
-9434262 1235821
-9390381 1231351
NA NA
-9390381 1231351
-9333271 1201846
-9311254 1223600
NA NA
-9321089 1353171
-9319290 1329335
-9328354 1281633
-9313914 1224770
-9311254 1223600
NA NA
-9297151 1522605
-9305628 1388732
-9308996 1414608
-9319756 1384207
-9323130 1365886
-9321089 1353171
NA NA
-9254201 1688556
-9274273 1678924
-9273527 1663893
-9272660 1587733
-9297151 1522605
NA NA
-9544126 1554561
-9477984 1634774
-9434938 1662514
-9380393 1655128
-9254201 1688556
NA NA
-9583307 1579316
-9544126 1554561
NA NA
-9658479 1541060
-9594219 1567366
-9583307 1579316
NA NA
-9674712 1487291
-9652847 1509919
-9658479 1541060
NA NA
-9674712 1487291
-9691875 1459765
NA NA
-11857782 3734535
-11672497 3557472
-11609940 3443168
-11477467 3379849
-11409437 3475513
-11287206 3470708
-11277340 3456215
NA NA
-12045727 3734903
-11857782 3734535
NA NA
-12045694 3676077
-12045727 3734903
NA NA
-12361558 3676077
-12045694 3676077
NA NA
-12780526 3829637
-12361558 3676077
NA NA
-12770416 3857978
-12780526 3829637
NA NA
-13037858 3833449
-12770416 3857978
NA NA
-12822794 3430310
-12889898 3506371
-12914568 3560090
-12940981 3626290
-12984364 3728032
-13037858 3833449
NA NA
-12502196 3010675
-12599476 3100933
-12601364 3105193
-12661286 3104707
-12746077 3171687
-12797006 3227728
-12726069 3219307
-12715711 3220460
-12706406 3251109
-12710487 3334517
-12822794 3430310
NA NA
-12462798 3136211
-12435960 3069329
-12440322 3105536
-12393009 3006855
-12360079 2941290
-12326032 2835772
-12296655 2779156
-12276002 2783324
-12257786 2781631
-12212176 2721045
-12181937 2666118
-12248972 2621608
-12301943 2712505
-12442421 2817176
-12470497 2845918
-12484108 2865104
-12489268 2993917
-12502196 3010675
NA NA
-12649876 3678213
-12687915 3714332
-12719857 3704021
-12781795 3732644
-12774186 3627517
-12742830 3496158
-12639831 3377377
-12593634 3322862
-12556002 3269545
-12525260 3201774
-12462798 3136211
NA NA
-12223619 3090574
-12257449 3138089
-12309704 3186319
-12314558 3232453
-12341180 3233535
-12452134 3343935
-12490818 3403638
-12551206 3523524
-12590694 3642632
-12606371 3664061
-12649876 3678213
NA NA
-11730595 2253134
-11754252 2329752
-11717731 2355513
-11738638 2374463
-11710096 2449008
-11761146 2520397
-11794855 2606409
-11981281 2801277
-11982921 2805010
-11966746 2809221
-11979552 2809389
-12019379 2848847
-12026674 2857328
-12036541 2874552
-12031809 2887928
-12065422 2894691
-12107415 2940746
-12120650 2940810
-12145940 2940506
-12141366 2948113
-12152031 2948219
-12166534 2961350
-12179062 3006067
-12150487 3029728
-12198419 3085383
-12217182 3085276
-12223619 3090574
NA NA
-11204336 1936190
-11367507 2030458
-11527503 2092014
-11642404 2172180
-11728650 2250666
-11730595 2253134
NA NA
-10523552 1826444
-10533049 1834303
-10570954 1843679
-10569813 1833791
-10565481 1829440
-10755563 1766888
-10916478 1826604
-11077397 1883573
-11204336 1936190
NA NA
-10523552 1826444
-10484218 1820873
-10493530 1821006
-10500240 1834043
-10367116 1736018
-10328834 1699764
NA NA
-10268912 1637198
-10328834 1699764
NA NA
-10268912 1637198
-10248719 1698165
NA NA
-10248719 1698165
-10254842 1737202
-10194945 1813471
-10068472 1813411
NA NA
-10068472 1813411
-10075584 1858831
-10178712 1950818
NA NA
-10178712 1950818
-10128274 1964227
-10115352 2016552
-9923204 2016358
NA NA
-9923204 2016358
-9923389 2032376
NA NA
-9923389 2032376
-9882199 2036184
NA NA
-9864698 2062858
-9882199 2036184
NA NA
-9864698 2062858
-9829630 2094131
-9829414 2094165
NA NA
-9827653 2094522
-9829414 2094165
NA NA
-9697316 2466358
-9664041 2418260
-9700313 2340152
-9733742 2264670
-9735010 2263585
-9760306 2221273
-9732198 2216447
-9746268 2192250
-9784269 2081426
-9798154 2113644
-9808295 2128890
-9827653 2094522
NA NA
-10099891 2198969
-10071630 2266645
-10051219 2398306
-9785410 2460740
-9699236 2456817
-9721897 2456481
-9697316 2466358
NA NA
